appid,game_name,slice,recommendationid,steamid,num_games_owned,num_reviews,playtime_forever,playtime_last_two_weeks,playtime_at_review,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access
2868840,Slay the Spire 2,bomb_window,225613363,76561198084134549,739,39,6495,449,4564,english,"The first game was so good I almost failed my first semester at university.  This game is so good that I've had to become a more responsible individual and had threats to my master's degree.  Anyway, the game is goated and likely the best card game I've played in my life. If ya like cards, give it a go.  Also, if you look at the negative reviews they come in a pattern that lines up *perfectly* with loser ♥♥♥♥♥♥♥♥ from online communities. So, if you don't find yourself to be either an incel (or Chinese) - you'll probably like this game!   Final notes for the review bomb relating to 1 person who worked on the game, Slay the Spire doesn't even have character traits to hate.  Half the characters don't even talk and there's people complaining about ""politics"" Be so for real right now.",1778887332,1778890043,True,1,0,0.520547926425933838,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225612992,76561198288019358,167,20,18124,51,8172,english,more slay the spire,1778886927,1778886927,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225612964,76561198005149820,0,26,16817,1,11381,english,我喜欢这款游戏，华人社区需要学会玩,1778886887,1778886887,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225612870,76561197960476688,0,1,8129,705,4658,english,Who could have guessed they could improve on Slay The Spire?,1778886800,1778886800,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225612441,76561198130041693,0,4,17329,531,7755,english,Peak deck building bliss,1778886387,1778886387,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225612411,76561198048163246,373,8,6588,0,6588,english,"Great game. Can't believe they are willing to throw away so much community goodwill for a grifter.   Usually I don't even review games at all, but a certain activist that the game supports told me ""there is no neutral"" and ""silence is being complicit"".   Maybe the company will wise up and prune her out, but till then I'm never buying anything else from them or their publisher.",1778886352,1778919998,False,14,2,0.438405781984329224,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225612279,76561198786566272,0,1,6145,0,5903,english,"great game! it's a perfect sequel: all the familiar, favorite elements refreshed with new content",1778886216,1778886216,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225612267,76561198003867611,0,25,5659,351,2068,english,"If you like the first game, this is more of the same with added multiplayer and variety.",1778886207,1778886207,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225612159,76561198065741230,0,1,5785,39,3953,english,gre,1778886108,1778886108,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225611848,76561197992752799,422,67,1081,43,272,english,"Feels like STS1 but more dynamic with more branches and variations on the climb/cards.   Overall worth it if you like STS1 but if can deffs wait for it to be finished or for a future potential sale.",1778885829,1778885829,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225611765,76561198047333345,2006,11,1941,0,1937,english,Won't nerf decimillipede. Get your ♥♥♥♥ together devs.,1778885760,1778885760,False,3,1,0.476190477609634399,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225611625,76561198210568921,0,5,9489,373,4629,english,"I like the doormaker, they are cool",1778885625,1778885625,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225611498,76561199072974479,0,2,10794,0,8533,english,,1778885500,1778885500,True,0,0,0.5,0,False,False,True
2868840,Slay the Spire 2,bomb_window,225611356,76561198030893731,231,61,3285,0,3285,english,"this game sucks, but it might not after early access and some good balancing choices, i recommend keeping an eye on it, but don't immediately get too invested on ascension difficulty increases since they tip the game's difficulty too much to unfun territory imo  people not recommending this game because they're chuds are insane",1778885371,1778885371,True,0,0,0.5,0,False,False,True
2868840,Slay the Spire 2,bomb_window,225611233,76561198052182410,0,2,97,0,97,english,boring,1778885258,1778885258,False,2,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225611185,76561198986427244,0,15,738,0,700,english,"Nothing feels fair or up to the player a lot, most balancing is horrible. I get difficulty, adore it, but you can't give me useless cards, genuinely ""Exhaust, gain 7 block and draw a card"" for 10 combats in a row consistently. It's unfun, and I hope megacrit can get it together  Update:  They put the unbalanced Aeon Glass into the game against everyone's advice. If you see aeon glass in Act 3, just give up. 100+ damage in the first 3 attacks from it, along with debuffs and it's wither. Bring back doorman. ♥♥♥♥ this game man.",1778885219,1782066641,False,1,0,0.5,0,True,False,True
